seat_code,state,seat,current_party,personal_name
P172,Sabah,Kota Kinabalu,DAP,CHAN FOONG HIN
P173,Sabah,Putatan,PKR,AWANG HUSAINI BIN SAHARI
P174,Sabah,Penampang,WARISAN,IGNATIUS DARELL LEIKING
P175,Sabah,Papar,WARISAN,AHMAD BIN HASSAN
P176,Sabah,Kimanis,UMNO,MOHAMAD BIN ALAMIN
P177,Sabah,Beaufort,PPBM,AZIZAH BINTI MOHD DUN
P178,Sabah,Sipitang,PPBM,YAMANI HAFEZ BIN MUSA
P179,Sabah,Ranau,PPBM,JONATHAN BIN YASIN
P180,Sabah,Keningau,STAR,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN
P181,Sabah,Tenom,DAP,NOORITA BINTI SUAL
P182,Sabah,Pensiangan,PBRS,ARTHUR JOSEPH KURUP
P183,Sabah,Beluran,PPBM,RONALD KIANDEE
P184,Sabah,Libaran,PPBM,ZAKARIA BIN MOHD. EDRIS @ TUBAU
P186,Sabah,Sandakan,DAP,VIVIAN WONG SHIR YEE
P187,Sabah,Kinabatangan,UMNO,MOKTAR BIN RADIN
P188,Sabah,Lahad Datu,WARISAN,MOHAMADDIN BIN KETAPI
P189,Sabah,Semporna,WARISAN,MOHD. SHAFIE BIN APDAL
P190,Sabah,Tawau,PKR,LIEW CHIN JIN
P191,Sabah,Kalabakan,WARISAN,MA'MUN BIN SULAIMAN
P192,Sarawak,Mas Gading,DAP,MORDI ANAK BIMOL
P193,Sarawak,Santubong,PBB,WAN JUNAIDI BIN TUANKU JAAFAR
P194,Sarawak,Petra Jaya,PBB,FADILLAH BIN YUSOF
P195,Sarawak,Bandar Kuching,DAP,KELVIN YII LEE WUEN
P196,Sarawak,Stampin,DAP,CHONG CHIENG JEN
P197,Sarawak,Kota Samarahan,PBB,RUBIAH BINTI WANG
P198,Sarawak,Puncak Borneo,PPBM,WILLIE ANAK MONGIN
P199,Sarawak,Serian,SUPP,RICHARD RIOT ANAK JAEM
P200,Sarawak,Batang Sadong,PBB,NANCY BINTI SHUKRI
P201,Sarawak,Batang Lupar,PBB,ROHANI BINTI ABDUL KARIM
P202,Sarawak,Sri Aman,Independent,MASIR ANAK KUJAT
P203,Sarawak,Lubok Antu,Independent,TAMBAT@JUGAH AK MUYANG
P204,Sarawak,Betong,PBB,ROBERT LAWSON CHUAT
P205,Sarawak,Saratok,PBB,ALI ANAK BIJU
P206,Sarawak,Tanjong Manis,PBB,YUSUF BIN ABD WAHAB
P207,Sarawak,Igan,PBB,AHMAD JOHNIE BIN ZAWAWI
P208,Sarawak,Sarikei,DAP,WONG LING BIU
P209,Sarawak,Julau,PBDS,LARRY SOON@LARRY SNG WEI SHIEN
P210,Sarawak,Kanowit,PRS,AGO ANAK DAGANG
P211,Sarawak,Lanang,DAP,ALICE LAU KIONG YIENG
P212,Sarawak,Sibu,DAP,OSCAR LING CHAI YEW
P213,Sarawak,Mukah,PBB,HANIFAH HAJAR TAIB
P214,Sarawak,Selangau,PSB,BARU BIAN
P215,Sarawak,Kapit,PBB,ALEXANDER NANTA LINGGI
P216,Sarawak,Hulu Rajang,PRS,UGAK ANAK KUMBONG
P217,Sarawak,Bintulu,PDP,TIONG KING SING
P218,Sarawak,Sibuti,PPB,LUKANISMAN BIN AWANG SAUNI
P219,Sarawak,Miri,PKR,MICHAEL TEO YU KENG
P220,Sarawak,Baram,PDP,ANYI NGAU
P221,Sarawak,Limbang,PBB,HASBI BIN HABIBOLLAH
P222,Sarawak,Lawas,PBB,HENRY SUM AGONG
